Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_5Plus,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_5Plus,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_5Plus,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Pop_Pct,Series_Complete_5PlusPop_Pct,Series_Complete_12PlusPop_Pct,Series_Complete_18PlusPop_Pct,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses_Vax_Pct,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,month,year,day_of_week,YearMonth,is_segmented_outlier,quarter,dayofyear,dayofmonth,weekofyear,season,holidays,holiday_season,vax_announcement,Additional_Doses_Vax_Pct_1_hr_lag
2023-05-10,19,IA,9429185,293100,3077920,4577895,0,298858,318614.0,352324,388315,1705240,6131087,6087851.0,5891253,5562759,2010678,181047,2170983,3132670,2821.0,194325,205710.0,220128,229087,363625,6144100,70.9,74.9,79.5,81.8,95.0,64.5,68.4,72.7,74.9,95.0,165265,741611,1123476,1181.0,165258,736150,1043180,1051.0,165153,735572,916380,910.0,14715,278552,239230,246.0,57.6,60.7,74.0,82.5,505853.0,653212.0,14393.0,429.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,58.5
2023-05-10,19,FM,291840,12800,127940,115460,0,285223,314412.0,368755,437384,6064840,209225,201820.0,169672,143343,11738,13882,106479,71993,177.0,204481,217429.0,214389,214830,243932,210837,84.2,88.0,85.3,84.2,88.4,72.0,77.8,76.1,75.9,82.1,12825,36490,24068,83.0,12816,35212,12096,83.0,12788,35178,2601,83.0,1120,2673,157,2.0,57.0,64.8,72.0,72.8,22327.0,19176.0,516.0,11.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,57.6
2023-05-10,19,PW,52580,3800,30900,14390,0,244195,258087.0,282006,317072,2639560,51971,51842.0,49016,45216,5682,2365,37949,9397,249.0,241366,254464.0,262891,272665,285241,52374,95.0,95.0,95.0,95.0,94.6,86.2,91.0,93.4,95.0,91.3,2367,12785,3268,119.0,2367,12783,2153,119.0,2367,12782,689,119.0,227,1544,45,2.0,67.7,72.6,81.5,88.7,11051.0,1493.0,4.0,8.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,57.0
2023-05-10,19,NV,7722770,260400,2313400,4208770,0,250727,266801.0,294560,323465,1557100,5590682,5574740.0,5427381,5107791,1506132,189065,1769482,3214977,727.0,181506,192592.0,207010,213937,303673,5576731,77.9,82.7,88.4,90.4,95.0,63.8,67.8,72.6,74.5,89.3,174046,630888,1159742,249.0,174042,628595,1100087,241.0,173993,628312,975185,234.0,26245,201057,215334,84.0,43.9,46.4,60.0,68.7,338294.0,513042.0,12802.0,105.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,67.7
2023-05-10,19,KY,12200975,395600,4310000,5909535,0,273095,290841.0,320558,352141,1625570,7510137,7476385.0,7272769,6888439,2268519,241674,2835274,3859727,2788.0,168100,178219.0,191079,198812,302242,7594101,69.1,73.2,78.0,80.4,95.0,59.7,63.4,67.7,69.9,89.5,215749,1015855,1431963,2036.0,215713,1011724,1347943,2013.0,215572,1011114,1192164,1897.0,39084,307225,324538,899.0,48.6,51.1,63.5,72.8,566577.0,704689.0,24572.0,415.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,43.9
2023-05-10,19,VI,173300,3400,44240,115760,0,163045,173954.0,193794,212620,846274,155357,155197.0,152537,145241,46183,2355,45753,103042,0.0,146163,155783.0,170575,178195,225525,153651,71.0,75.6,82.5,85.9,95.0,55.6,59.3,64.8,67.3,79.9,2140,16766,40162,11.0,2137,16753,39012,11.0,2133,16723,35954,11.0,576,6636,9138,4.0,31.4,33.1,41.3,47.5,6339.0,12089.0,150.0,3.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,48.6
2023-05-10,19,WV,5515855,172600,1967420,2696125,0,307779,324630.0,354071,385029,1502910,3098571,3091110.0,3032881,2896775,1085531,68663,1244019,1571349,2352.0,172897,181924.0,194685,202207,295776,3108714,67.6,71.1,75.6,77.8,95.0,59.8,62.9,67.1,69.0,87.7,62372,439480,568274,643.0,62353,437910,544074,615.0,62290,437457,488749,574.0,9715,165739,146271,231.0,49.6,51.9,62.8,70.9,245076.0,281248.0,5247.0,165.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,31.4
2023-05-10,19,VA2,9888200,626900,4250780,3780780,0,0,0.0,0,0,0,8700837,8700647.0,8700624,8697186,4771928,257902,4037447,3513963,38.0,0,0.0,0,0,0,8700837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233997,1505437,1320740,2.0,233990,1505413,1320694,2.0,233955,1505374,1319347,2.0,76716,860225,636462,1.0,44.1,44.2,50.5,55.8,714968.0,614799.0,21264.0,0.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,49.6
2023-05-10,19,ME,4981040,159400,1595120,2361030,0,370555,388939.0,420364,454736,1746110,3542346,3513130.0,3397619,3221208,1203849,145441,1272222,1683208,5959.0,263526,274319.0,286734,294075,422011,3546832,95.0,95.0,95.0,95.0,95.0,83.6,87.2,90.3,91.9,95.0,133206,405265,580391,1478.0,133184,402401,533469,1396.0,133120,402214,469504,1234.0,24831,140356,137977,480.0,61.2,63.8,74.3,81.8,300325.0,375418.0,11119.0,951.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,44.1
2023-05-10,19,ID,4751720,160200,1604380,2346190,0,265895,284387.0,317754,354907,1634750,2894361,2880969.0,2801658,2645579,920782,90942,994144,1550669,5950.0,161962,172424.0,187351,197599,316779,2925647,64.1,68.2,73.6,76.8,95.0,56.6,60.4,65.2,67.9,90.6,83582,346119,579807,1229.0,83571,344430,545563,1217.0,83553,344153,480518,1204.0,12442,121550,128845,416.0,48.8,51.3,65.0,73.1,203425.0,283748.0,6684.0,311.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,61.2
